ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
1998;;;;;;2.0;17.0;48.0;31.0;3.0;;
1999;;2.0;;;;3.0;4.0;15.0;12.0;8.0;1.0;
2000;;;;;2.0;1.0;15.0;9.0;3.0;17.0;;
2001;;1.0;;;;3.0;22.0;25.0;13.0;;;1.0
2002;;;;1.0;1.0;7.0;38.0;49.0;41.0;22.0;1.0;1.0
2003;;1.0;;;1.0;32.0;50.0;43.0;22.0;12.0;;
2004;;;;2.0;11.0;5.0;46.0;110.0;116.0;22.0;;
2005;;;;;4.0;4.0;38.0;46.0;25.0;18.0;5.0;
2006;;;;1.0;9.0;10.0;38.0;64.0;17.0;1.0;;
2007;1.0;;1.0;3.0;16.0;59.0;87.0;197.0;99.0;22.0;;
2008;;;2.0;1.0;7.0;11.0;39.0;71.0;56.0;8.0;6.0;
2009;1.0;;;;15.0;6.0;32.0;37.0;4.0;4.0;;
2010;1.0;5.0;2.0;8.0;22.0;78.0;100.0;181.0;204.0;10.0;1.0;1.0
2011;;2.0;;1.0;5.0;18.0;54.0;55.0;135.0;;;
2012;;;;4.0;;4.0;27.0;51.0;67.0;16.0;;
2013;;1.0;1.0;;2.0;5.0;25.0;33.0;33.0;3.0;;2.0
2014;;1.0;1.0;2.0;9.0;6.0;28.0;96.0;67.0;31.0;;
2015;1.0;;;;2.0;1.0;15.0;53.0;64.0;17.0;2.0;
2016;;1.0;1.0;4.0;13.0;37.0;78.0;35.0;51.0;8.0;1.0;
2017;1.0;;;1.0;6.0;5.0;28.0;118.0;77.0;51.0;;
2018;;;;;2.0;1.0;29.0;15.0;41.0;;;
2019;4.0;1.0;;;;6.0;30.0;29.0;116.0;27.0;;
2020;2.0;2.0;;5.0;5.0;11.0;25.0;22.0;83.0;39.0;1.0;1.0
2021;;;;4.0;9.0;10.0;38.0;50.0;141.0;7.0;;
2022;;;6.0;4.0;14.0;17.0;60.0;55.0;85.0;10.0;;
2023;1.0;2.0;;2.0;10.0;11.0;21.0;21.0;18.0;;3.0;
2024;2.0;;;;;;;;;;;
